time,Irms,VibrationMag
6655.585,0.450721741,0.02310464
6656.586,0.360161245,0.194021165
6657.585,0.327356726,0.201271072
6658.585,0.314622194,0.986835301
6659.586,0.311082184,0.910184562
6660.585,0.306647509,0.615571201
6661.586,0.307742745,0.606559217
6662.586,0.305931687,0.75178051
6663.586,0.307647377,0.65203321
6664.585,0.307103723,0.959778607
6665.587,0.30549863,0.923999488
6666.586,0.311405122,0.81197691
6667.586,0.320885927,1.016941428
6668.586,0.323671609,0.81854558
6669.586,0.32254383,0.714624107
6670.586,0.327084154,0.514012337
6671.585,0.319922984,0.289960235
6672.587,0.322633684,0.751284301
6673.586,0.325709611,0.712616742
6674.586,0.329563439,0.904836655
6675.586,0.324771881,0.634143114
6676.586,0.328464627,0.710581005
6677.587,0.337637872,0.971849501
6678.587,0.334644258,0.693922222
6679.585,0.334442198,0.579713106
6680.586,0.328641087,0.643349588
6681.586,0.329597086,0.285356373
6682.587,0.319965035,0.559329748
6683.585,0.318767786,0.57840091
6684.586,0.309601396,0.675471067
6685.586,0.305944234,0.781953633
6686.586,0.278606623,0.566458464
6687.586,0.271212339,0.691798747
6688.586,0.266198605,0.808079541
6689.585,0.252241075,0.750620186
6690.586,0.25571543,0.444915146
6691.586,0.259125203,0.793435514
6692.586,0.258547753,0.733712018
6693.586,0.257815898,0.707400501
6694.587,0.254359931,0.632448912
6695.587,0.261124641,0.769272506
6696.585,0.263114184,0.726336479
6697.585,0.255531132,0.756161749
6698.586,0.257629395,0.733082593
6699.586,0.264530122,0.732242882
6700.586,0.271440297,0.713794887
6701.586,0.268087268,0.711561918
6702.586,0.268179983,0.865470946
6703.585,0.276014537,0.629103959
6704.586,0.288176179,0.686898291
6705.586,0.304965764,0.569636166
6706.587,0.321583927,0.246032834
6707.586,0.325550228,0.474135757
6708.585,0.333072424,0.768734932
6709.585,0.32895115,0.75090915
6710.585,0.31152463,0.608074546
6711.585,0.317914516,0.583137572
6712.585,0.307722956,0.553984046
6713.585,0.317836404,0.984076023
6714.586,0.318007141,0.892127216
6715.586,0.325417072,0.931990206
6716.586,0.33011502,0.513263345
6717.587,0.339645922,0.740581214
6718.586,0.334078878,0.581824839
6719.587,0.329309613,0.555375516
6720.585,0.326730311,0.674343169
6721.587,0.325358152,0.688259602
6722.587,0.309204102,0.696139336
6723.587,0.301067114,0.497245312
6724.585,0.282123059,0.575785339
6725.586,0.267086327,0.715646088
6726.586,0.264654517,0.739215612
6727.586,0.258417696,0.680066288
6728.586,0.265190721,0.874026537
6729.585,0.265547752,0.72720623
6730.586,0.282145441,0.640217066
6731.587,0.296079963,0.632488906
6732.587,0.307867318,0.676933944
6733.585,0.317273021,0.746987402
6734.586,0.326111138,0.573710263
6735.586,0.323340386,0.509548724
6736.585,0.322798252,0.59421283
6737.586,0.320600718,0.496210426
6738.586,0.318591774,0.575849652
6739.585,0.315925211,0.641106367
6740.586,0.310096532,0.824288607
6741.585,0.310357302,0.565189362
6742.586,0.317573726,0.569832385
6743.586,0.311919689,0.62414068
6744.586,0.309820831,0.691188157
6745.587,0.318573058,0.753833592
6746.587,0.304793,0.558685362
6747.587,0.315083414,0.882942617
6748.586,0.312470675,0.668727875
6749.587,0.323233694,0.862304986
6750.587,0.311516285,0.492372274
6751.587,0.325051725,0.669385374
6752.584,0.304046452,0.589346707
6753.586,0.318571359,0.507723808
6754.586,0.317556888,0.678065062
6755.586,0.326166928,0.518715799
6756.586,0.319591194,0.697507203
6757.586,0.331813842,0.710530937
6758.586,0.323973537,0.683534622
6759.586,0.326826096,0.464890838
6760.585,0.319339991,0.652508795
6761.586,0.327787638,0.501257122
6762.587,0.317530543,0.622565031
6763.585,0.325059652,0.522757053
6764.586,0.326197147,0.714603186
6765.586,0.332501113,0.833291054
6766.586,0.326387316,0.667490244
6767.586,0.329039723,0.749827862
6768.586,0.339924991,0.664996147
6769.587,0.335017979,0.523661494
6770.587,0.33079797,0.657454312
6771.585,0.337934881,0.60082823
6772.585,0.333639264,0.680027008
6773.585,0.33096078,0.613948286
6774.585,0.331807554,0.596324503
6775.586,0.33068493,0.734646797
6776.586,0.327378064,0.815309465
6777.585,0.323630244,0.712987602
6778.586,0.326465577,0.674748123
6779.586,0.324363649,0.709598959
6780.586,0.321228981,0.697668374
6781.586,0.329552352,0.620087802
6782.586,0.330512494,0.535951793
6783.586,0.334084243,0.794244349
6784.585,0.338524073,0.64971298
6785.586,0.332357377,0.589758337
6786.586,0.332796902,0.653912783
6787.586,0.337909192,0.759511411
6788.586,0.338801086,0.703732789
6789.586,0.342093885,0.676860035
6790.586,0.334333777,0.58477068
6791.586,0.326613724,0.517541468
6792.586,0.326453,0.668331802
6793.586,0.321749687,0.49691841
6794.587,0.310027272,0.517836809
6795.587,0.308162123,0.549258173
6796.587,0.310190439,0.587141156
6797.586,0.31227231,0.68707633
6798.586,0.305860192,0.791652262
6799.586,0.307792574,0.435275793
6800.586,0.31741032,0.201721788
6801.586,0.315914929,0.744558156
6802.586,0.310074687,0.909253418
6803.587,0.325684339,0.453528404
6804.587,0.325455993,0.427820593
6805.587,0.334047794,0.695658267
6806.587,0.331194639,0.703027248
6807.585,0.328377783,0.609228194
6808.586,0.333780617,0.531534731
6809.585,0.331341296,0.500028551
6810.587,0.32886073,0.598154485
6811.585,0.329861373,0.420297146
6812.587,0.325344801,0.531221449
6813.587,0.331667781,0.588901579
6814.586,0.324160963,0.324741811
6815.585,0.333111137,0.585750639
6816.586,0.335704058,0.730686605
6817.586,0.335195661,0.77495575
6818.587,0.333656251,0.671863318
6819.587,0.336625069,0.535724938
6820.587,0.327948481,0.677831352
6821.585,0.334251046,0.646958888
6822.585,0.326507211,0.624441624
6823.586,0.317321748,0.6398139
6824.586,0.324828893,0.601839542
6825.585,0.323086709,0.653699219
6826.586,0.319511682,0.68666625
6827.586,0.327079296,0.671861351
6828.586,0.33291328,0.368395805
6829.586,0.331963599,0.701284409
6830.586,0.334011495,0.65758276
6831.586,0.331078827,0.747619927
6832.586,0.337241739,0.414694458
6833.585,0.337391347,0.555431902
6834.587,0.325588584,0.687848389
6835.587,0.330026597,0.773396909
6836.585,0.325266808,0.61936003
6837.585,0.321318537,0.881339252
6838.585,0.313637167,0.734828949
6839.585,0.302839369,0.611569583
6840.586,0.294358879,0.670487881
6841.585,0.29797104,0.612499714
6842.586,0.290662944,0.459843546
6843.586,0.2847161,0.372002602
6844.586,0.279893667,0.697115183
6845.586,0.277664214,0.400794119
6846.587,0.28488183,0.653629243
6847.587,0.273740411,0.625733256
6848.587,0.282209367,0.463994741
6849.585,0.269942492,0.210958898
6850.586,0.261054218,0.642960012
6851.586,0.251021504,0.654185474
6852.586,0.259500504,0.565598786
6853.586,0.249415129,0.598987758
6854.586,0.265373707,0.540042758
6855.586,0.267951399,0.617007136
6856.586,0.270182431,0.842491329
6857.586,0.274392188,0.746405304
6858.587,0.280461818,0.562863886
6859.586,0.287103862,0.704710543
6860.586,0.283658028,0.861930549
6861.586,0.288199753,0.625700295
6862.585,0.289983004,0.531507134
6863.586,0.296153396,0.60053128
6864.586,0.282698661,0.507999837
6865.586,0.273761421,0.461942107
6866.587,0.272901684,0.895881951
6867.587,0.268758416,0.545106709
6868.586,0.265123665,0.425855011
6869.585,0.260401785,0.400066346
6870.585,0.275039911,0.540859878
6871.585,0.264266521,0.484253615
6872.585,0.274544299,0.368828446
6873.585,0.27808395,0.535907984
6874.586,0.283752888,0.751750946
6875.586,0.286284477,0.508539617
6876.586,0.285521001,0.301181406
6877.586,0.287552416,0.552188933
6878.586,0.290162236,0.608268738
6879.586,0.285111904,0.307791621
6880.586,0.280845106,0.261204153
6881.587,0.271103501,0.536946535
6882.586,0.275831163,0.704806566
6883.586,0.276520044,0.526567996
6884.586,0.287139267,0.640502393
6885.587,0.288425952,0.6763677
6886.587,0.284186155,0.4274638
6887.587,0.282818407,0.142803386
6888.585,0.287394226,0.430293649
6889.585,0.288282126,0.70225358
6890.585,0.299547255,0.446495324
6891.585,0.300494313,0.39398697
6892.586,0.295751423,0.38693282
6893.586,0.299072713,0.507546961
6894.586,0.289599419,0.40115118
6895.586,0.290331155,0.677130997
6896.586,0.289876461,0.43084684
6897.586,0.284802407,0.559772432
6898.586,0.268782675,0.348111957
6899.587,0.273835689,0.302072346
6900.586,0.318514288,0.311495572
6901.586,0.265399873,0.421590477
6902.586,0.28587234,0.346250087
6903.587,0.261759341,0.598213375
6904.587,0.255213022,0.697109878
6905.587,0.269354403,0.641392767
6906.584,0.271216571,0.567165196
6907.586,0.286584139,0.733573735
6908.586,0.305723429,0.472043186
6909.586,0.300499648,0.585960686
6910.586,0.326526642,0.679775238
6911.586,0.29736799,0.492150158
6912.586,0.314002454,0.537825644
6913.586,0.29300192,0.46725288
6914.585,0.337111622,0.396609902
6915.586,0.298735261,0.670661271
6916.586,0.326329649,0.504130304
6917.586,0.304745525,0.606625199
6918.586,0.26500985,0.646060586
6919.586,0.308661878,0.367220879
6920.586,0.28220138,0.485021591
6921.586,0.312441289,0.629381955
6922.586,0.309531033,0.803425074
6923.587,0.309437096,0.734738886
6924.587,0.33515963,0.386523336
6925.587,0.300564826,0.643902063
6926.585,0.313100368,0.549174726
6927.585,0.292432517,0.449812979
6928.585,0.344345868,0.606840611
6929.586,0.295291841,0.430897474
6930.585,0.30128777,0.41130504
6931.586,0.281691998,0.510306478
6932.586,0.293943882,0.225833312
6933.587,0.282376647,0.62630564
6934.586,0.275869697,0.64364928
6935.586,0.282336026,0.353233129
6936.585,0.266900957,0.392283827
6937.585,0.261937231,0.282039434
6938.585,0.260513037,0.361585945
6939.585,0.250732869,0.655313253
6940.585,0.266887367,0.39551115
6941.585,0.254970759,0.366880924
6942.585,0.270772874,0.570553303
6943.585,0.264480799,0.478867292
6944.585,0.265282422,0.324415535
6945.586,0.266540676,0.686398685
6946.586,0.271402478,0.448780149
6947.587,0.270081073,0.298659772
6948.586,0.260540575,0.581045687
6949.586,0.275520116,0.630111992
6950.587,0.277837127,0.415295601
6951.585,0.267577112,0.506819308
6952.585,0.27488929,0.418948412
6953.586,0.269761592,0.397332579
6954.586,0.273868173,0.322681427
6955.585,0.263109446,0.686874449
6956.585,0.265992522,0.479328245
6957.585,0.267393351,0.471698731
6958.585,0.264597058,0.379216999
6959.587,0.261829794,0.251591474
6960.587,0.255687207,0.380010128
6961.586,0.254962176,0.615004778
6962.586,0.253629267,0.716635227
6963.585,0.260896415,0.39258334
6964.586,0.26316148,0.429041237
6965.586,0.264838904,0.702693462
6966.587,0.266555995,0.58491385
6967.587,0.264722407,0.632239938
6968.586,0.266260415,0.585259497
6969.586,0.272151917,0.839655221
6970.586,0.271453738,0.703788281
6971.586,0.263261706,0.483605236
6972.585,0.258060038,0.380348921
6973.585,0.263328016,0.68488574
6974.585,0.256257266,0.364636064
6975.585,0.259972453,0.594798267
6976.586,0.26538527,0.681083918
6977.586,0.266774535,0.285805672
6978.586,0.27080822,0.460661143
6979.586,0.26074785,0.80353123
6980.586,0.263853759,0.679616153
6981.586,0.260183841,0.471813172
6982.585,0.272313058,0.4881064
6983.586,0.26772505,0.383833736
6984.586,0.264199346,0.458064586
6985.586,0.250514448,0.521817923
6986.587,0.266098827,0.541886091
6987.585,0.268973172,0.491508156
6988.586,0.273279786,0.531083703
6989.586,0.281538159,0.577804744
6990.586,0.293732852,0.375358909
6991.585,0.288929135,0.447383076
6992.586,0.287643403,0.66568166
6993.586,0.284380198,0.382371873
6994.586,0.278032363,0.360110551
6995.586,0.282780916,0.499760896
6996.585,0.289586246,0.445553541
6997.587,0.290297151,0.613487899
6998.587,0.289238215,0.587801218
6999.587,0.327153415,0.522189558
7000.587,0.305187941,0.548326552
7001.587,0.324295878,0.644798517
7002.585,0.320439339,0.300213277
7003.584,0.33111006,0.598408997
7004.586,0.333146781,0.473838538
7005.586,0.304141253,0.626687765
7006.586,0.332425118,0.388391942
7007.586,0.263362974,0.637018144
7008.586,0.321922571,0.536417663
7009.586,0.319540292,0.785530806
7010.586,0.318178475,0.580024004
7011.585,0.311642706,0.593969107
7012.586,0.322880298,0.538305879
7013.587,0.331476837,0.580471158
7014.587,0.313048422,0.470510125
7015.586,0.286029309,0.362557381
7016.586,0.315087974,0.558238804
7017.586,0.259920865,0.687487841
7018.585,0.321381956,0.671949089
7019.587,0.319894463,0.541004479
7020.585,0.323120475,0.536863387
7021.586,0.322969079,0.56480366
7022.586,0.320965439,0.5030725
7023.586,0.321926236,0.556017578
7024.586,0.336259067,0.606082141
7025.587,0.325425714,0.620521069
7026.585,0.336279869,0.6141029
7027.585,0.275186449,0.557801485
7028.586,0.338415116,0.430847764
7029.586,0.284659594,0.388171822
7030.587,0.330845118,0.556710482
7031.585,0.337673128,0.445355892
7032.585,0.321893096,0.626171887
7033.585,0.315567315,0.560979962
7034.585,0.321217448,0.624991596
7035.586,0.312131345,0.533036113
7036.586,0.333731145,0.493804932
7037.586,0.333843708,0.713164985
7038.586,0.326052785,0.418381333
7039.586,0.286662489,0.338903338
7040.586,0.324240804,0.546064019
7041.586,0.273631036,0.579980791
7042.586,0.330247611,0.521841109
7043.587,0.312850148,0.426838666
7044.585,0.340764999,0.399798185
7045.586,0.324325204,0.615295112
7046.586,0.337539256,0.750151932
7047.586,0.318503559,0.551441014
7048.585,0.326728493,0.712606192
7049.585,0.31545344,0.40734303
7050.586,0.337523848,0.651189745
7051.586,0.332363904,0.571555078
7052.586,0.332856178,0.44766131
7053.586,0.313013583,0.525963128
7054.586,0.328244358,0.53683418
7055.586,0.268643439,0.446712643
7056.587,0.320168227,0.594327211
7057.585,0.274562955,0.661586285
7058.586,0.316394061,0.544624627
7059.586,0.323229253,0.4758946
7060.586,0.326597273,0.304974198
7061.585,0.323054522,0.587429583
7062.586,0.311063409,0.676921189
7063.586,0.310339689,0.547409833
7064.586,0.314843118,0.518274844
7065.586,0.309225291,0.782880962
7066.587,0.316281468,0.363494039
7067.587,0.313494861,0.68651706
7068.585,0.322415501,0.736289203
7069.586,0.32578513,0.554269791
7070.586,0.322054833,0.55012244
7071.586,0.323279172,0.733813107
7072.586,0.32186386,0.683086097
7073.585,0.326069802,0.621895373
7074.586,0.329373509,0.69581604
7075.586,0.330063045,0.575401247
7076.586,0.330197364,0.602372468
7077.585,0.335178465,0.490635067
7078.586,0.33077848,0.628058374
7079.586,0.325173318,0.771733999
7080.586,0.322806627,0.446936131
7081.586,0.323938161,0.434715003
7082.586,0.321886152,0.567636669
7083.587,0.331940055,0.541470587
7084.585,0.329911888,0.724429905
7085.586,0.335855782,0.307744086
7086.586,0.326000214,0.664040566
7087.585,0.321394265,0.732001782
7088.585,0.325227052,0.573947132
7089.586,0.325631172,0.545347393
7090.587,0.323472649,0.478874296
7091.587,0.330113381,0.709841013
7092.586,0.334214509,0.694391191
7093.586,0.338482827,0.532551706
7094.586,0.331788808,0.472937912
7095.586,0.329345048,0.588311732
7096.586,0.326521784,0.574127138
7097.587,0.326490045,0.331277818
7098.587,0.323277265,0.431322068
7099.585,0.329681486,0.328377277
7100.586,0.324872762,0.645890534
7101.586,0.330143333,0.605581701
7102.586,0.334481269,0.256729245
7103.585,0.333944947,0.630569041
7104.586,0.326282173,0.653091848
7105.586,0.32441771,0.660431206
7106.586,0.323239535,0.704007089
7107.586,0.321684897,0.579212368
7108.586,0.313099533,0.553255737
7109.586,0.324213117,0.279158682
7110.586,0.321581841,0.394284576
7111.586,0.331842542,0.52153784
7112.586,0.324500054,0.664882779
7113.586,0.324826747,0.654392242
7114.585,0.320543647,0.26739946
7115.586,0.315829456,0.479746223
7116.586,0.316389442,0.41243729
7117.586,0.321077764,0.345040351
7118.586,0.326069266,0.372981429
7119.585,0.332296997,0.636390805
7120.586,0.33930999,0.597345173
7121.586,0.330771118,0.510774255
7122.586,0.330490083,0.661226392
7123.586,0.328699052,0.70452261
7124.585,0.334445268,0.526498854
7125.586,0.324220181,0.566241086
7126.587,0.32766825,0.810455084
7127.587,0.322945327,0.599858344
7128.586,0.321967214,0.55401206
7129.586,0.329140276,0.566845417
7130.586,0.320732772,0.560258925
7131.586,0.316465765,0.628754199
7132.587,0.319962353,0.493345857
7133.586,0.31372869,0.38425675
7134.586,0.335575223,0.372357845
7135.586,0.304242045,0.541578054
7136.586,0.27470687,0.624949515
7137.587,0.31784901,0.47127524
7138.586,0.305169076,0.36899063
7139.585,0.322663456,0.572254896
7140.586,0.328664959,0.53456682
7141.585,0.332965612,0.671779871
7142.587,0.317586124,0.540077269
7143.585,0.338296711,0.570624054
7144.586,0.339434534,0.486185193
7145.586,0.3328605,0.611118972
7146.586,0.299864262,0.851355016
7147.587,0.325920582,0.625143826
7148.587,0.270353854,0.486726403
7149.586,0.306188166,0.621290922
7150.586,0.331751704,0.596701205
7151.586,0.29898116,0.330779672
7152.586,0.315513551,0.577551544
7153.585,0.290254593,0.588156164
7154.587,0.323512942,0.558882594
7155.587,0.271069467,0.704424918
7156.585,0.283790588,0.572266161
7157.585,0.256569088,0.630182982
7158.586,0.274219155,0.592548907
7159.587,0.265675038,0.465294361
7160.587,0.328315079,0.569247723
7161.585,0.280034512,0.676419199
7162.586,0.320531905,0.444326758
7163.586,0.281271428,0.46863544
7164.587,0.316680729,0.421186298
7165.586,0.287546724,0.501127183
7166.585,0.324298888,0.586096525
7167.585,0.298828065,0.721836567
7168.585,0.262221307,0.545909762
7169.585,0.32321915,0.406224847
7170.586,0.314738393,0.513874054
7171.586,0.326967776,0.611103833
7172.586,0.327349365,0.581504762
7173.586,0.331454575,0.313156337
7174.585,0.319978476,0.754341424
7175.586,0.316576779,0.613700628
7176.586,0.308014154,0.658776105
7177.587,0.315991968,0.795901299
7178.585,0.268027663,0.430756658
7179.586,0.321134388,0.411683708
7180.586,0.335570067,0.63533324
7181.586,0.335216999,0.483987123
7182.586,0.316091925,0.522759855
7183.585,0.328332186,0.71391052
7184.585,0.326663494,0.558312118
7185.586,0.320594221,0.546874881
7186.586,0.274765164,0.631616116
7187.586,0.324018359,0.668020189
7188.587,0.300200611,0.730848551
7189.586,0.298785538,0.777003944
7190.586,0.324850917,0.673741639
7191.586,0.275191516,0.570307314
7192.585,0.311185122,0.689165831
7193.586,0.256512165,0.430387646
7194.586,0.330532879,0.512625575
7195.586,0.257588357,0.239450097
7196.587,0.302231491,0.622178137
7197.585,0.269301862,0.648783028
7198.585,0.268994123,0.534287632
7199.586,0.26523006,0.574257731
7200.586,0.255383879,0.512979209
7201.587,0.255536467,0.775606334
7202.585,0.272095889,0.559545577
7203.585,0.285420626,0.549511254
7204.586,0.307591766,0.590808809
7205.586,0.311196208,0.395107061
7206.585,0.322330207,0.486939192
7207.585,0.329263389,0.651153028
7208.586,0.333632857,0.321209788
7209.586,0.334746301,0.49412787
7210.587,0.326207966,0.469670266
7211.585,0.320564777,0.325256437
7212.586,0.313401818,0.394527763
7213.586,0.316335976,0.676263809
7214.585,0.313310057,0.531588078
7215.585,0.315348148,0.697628439
7216.586,0.316392213,0.705797851
7217.586,0.311842889,0.533951223
7218.586,0.310538381,0.594153643
7219.587,0.313184917,0.663082063
7220.585,0.313518465,0.545263469
7221.586,0.30542019,0.657320797
7222.586,0.310914099,0.622454405
7223.586,0.314408034,0.768142045
7224.586,0.313463956,0.56319046
7225.586,0.325782031,0.616084755
7226.587,0.32552594,0.626317442
7227.585,0.323821008,0.601702988
7228.586,0.323167145,0.499829531
7229.586,0.326788604,0.537428737
7230.586,0.332705647,0.71614331
7231.586,0.331741095,0.477993369
7232.586,0.330483139,0.582607329
7233.586,0.319769889,0.55706197
7234.586,0.319586277,0.408371687
7235.587,0.30891186,0.440621167
7236.585,0.310370833,0.549668253
7237.586,0.312405348,0.582591772
7238.585,0.310733587,0.558939517
7239.586,0.323814303,0.548420727
7240.586,0.324522674,0.564329207
7241.586,0.328249335,0.596859634
7242.587,0.319425464,0.472004741
7243.586,0.319389731,0.524142981
7244.586,0.33230263,0.416645795
7245.586,0.325754225,0.344804764
7246.586,0.333224177,0.813069165
7247.586,0.324089825,0.621815503
7248.586,0.319562048,0.697862446
7249.586,0.308420062,0.767475069
7250.587,0.306918919,0.314375967
7251.585,0.299900413,0.338416219
7252.586,0.293114573,0.48471269
7253.586,0.291216224,0.315874726
7254.585,0.303936929,0.446918845
